drug_name	drug_type	logFC_TVsS	direction
OMECAMTIV MECARBIL	Small molecule	-4.907	down
OMECAMTIV MECARBIL	Small molecule	-4.907	down
MAVACAMTEN	Small molecule	-4.907	down
MAVACAMTEN	Small molecule	-4.907	down
MAVACAMTEN	Small molecule	-4.907	down
OMECAMTIV MECARBIL	Small molecule	-4.907	down
OMECAMTIV MECARBIL	Small molecule	-4.907	down
MAVACAMTEN	Small molecule	-4.907	down
DANICAMTIV	Small molecule	-4.907	down
DANICAMTIV	Small molecule	-4.907	down
DANICAMTIV	Small molecule	-4.907	down
OMECAMTIV MECARBIL	Small molecule	-4.657	down
MAVACAMTEN	Small molecule	-4.657	down
OMECAMTIV MECARBIL	Small molecule	-4.657	down
OMECAMTIV MECARBIL	Small molecule	-4.657	down
OMECAMTIV MECARBIL	Small molecule	-4.657	down
MAVACAMTEN	Small molecule	-4.657	down
MAVACAMTEN	Small molecule	-4.657	down
MAVACAMTEN	Small molecule	-4.657	down
DANICAMTIV	Small molecule	-4.657	down
DANICAMTIV	Small molecule	-4.657	down
DANICAMTIV	Small molecule	-4.657	down
OMECAMTIV MECARBIL	Small molecule	-4.573	down
OMECAMTIV MECARBIL	Small molecule	-4.573	down
OMECAMTIV MECARBIL	Small molecule	-4.573	down
MAVACAMTEN	Small molecule	-4.573	down
MAVACAMTEN	Small molecule	-4.573	down
MAVACAMTEN	Small molecule	-4.573	down
MAVACAMTEN	Small molecule	-4.573	down
OMECAMTIV MECARBIL	Small molecule	-4.573	down
DANICAMTIV	Small molecule	-4.573	down
DANICAMTIV	Small molecule	-4.573	down
DANICAMTIV	Small molecule	-4.573	down
MIPSAGARGIN	Small molecule	-3.756	down
MIPSAGARGIN	Small molecule	-3.756	down
MIPSAGARGIN	Small molecule	-3.756	down
MIPSAGARGIN	Small molecule	-3.756	down
MIPSAGARGIN	Small molecule	-3.756	down
MIPSAGARGIN	Small molecule	-3.756	down
MIPSAGARGIN	Small molecule	-3.756	down
MIPSAGARGIN	Small molecule	-3.756	down
FOMEPIZOLE	Small molecule	-3.615	down
FOMEPIZOLE	Small molecule	-3.615	down
FOMEPIZOLE	Small molecule	-3.615	down
NITREFAZOLE	Small molecule	-3.615	down
PLITIDEPSIN	Small molecule	-3.516	down
PLITIDEPSIN	Small molecule	-3.516	down
PLITIDEPSIN	Small molecule	-3.516	down
PLITIDEPSIN	Small molecule	-3.516	down
PLITIDEPSIN	Small molecule	-3.516	down
PLITIDEPSIN	Small molecule	-3.516	down
PLITIDEPSIN	Small molecule	-3.516	down
PLITIDEPSIN	Small molecule	-3.516	down
PLITIDEPSIN	Small molecule	-3.516	down
OCRIPLASMIN	Protein	3.444	up
OCRIPLASMIN	Protein	3.444	up
OCRIPLASMIN	Protein	3.444	up
OCRIPLASMIN	Protein	3.444	up
OCRIPLASMIN	Protein	3.444	up
OCRIPLASMIN	Protein	3.444	up
OCRIPLASMIN	Protein	3.444	up
OCRIPLASMIN	Protein	3.444	up
OCRIPLASMIN	Protein	3.444	up
OCRIPLASMIN	Protein	3.444	up
OCRIPLASMIN	Protein	3.444	up
LEVOSIMENDAN	Small molecule	-3.409	down
LEVOSIMENDAN	Small molecule	-3.409	down
LEVOSIMENDAN	Small molecule	-3.409	down
LEVOSIMENDAN	Small molecule	-3.409	down
LEVOSIMENDAN	Small molecule	-3.409	down
LEVOSIMENDAN	Small molecule	-3.409	down
LEVOSIMENDAN	Small molecule	-3.409	down
LEVOSIMENDAN	Small molecule	-3.409	down
LEVOSIMENDAN	Small molecule	-3.409	down
LEVOSIMENDAN	Small molecule	-3.409	down
LEVOSIMENDAN	Small molecule	-3.409	down
LEVOSIMENDAN	Small molecule	-3.409	down
LEVOSIMENDAN	Small molecule	-3.409	down
LEVOSIMENDAN	Small molecule	-3.409	down
LEVOSIMENDAN	Small molecule	-3.409	down
VEPALIMOMAB	Antibody	-3.333	down
RELDESEMTIV	Small molecule	-3.329	down
RELDESEMTIV	Small molecule	-3.329	down
RELDESEMTIV	Small molecule	-3.329	down
RELDESEMTIV	Small molecule	-3.329	down
RELDESEMTIV	Small molecule	-3.329	down
RELDESEMTIV	Small molecule	-3.329	down
TIRASEMTIV	Small molecule	-3.329	down
TIRASEMTIV	Small molecule	-3.329	down
TIRASEMTIV	Small molecule	-3.329	down
TIRASEMTIV	Small molecule	-3.329	down
TIRASEMTIV	Small molecule	-3.329	down
OCRIPLASMIN	Protein	3.22	up
OCRIPLASMIN	Protein	3.22	up
OCRIPLASMIN	Protein	3.22	up
OCRIPLASMIN	Protein	3.22	up
OCRIPLASMIN	Protein	3.22	up
OCRIPLASMIN	Protein	3.22	up
OCRIPLASMIN	Protein	3.22	up
OCRIPLASMIN	Protein	3.22	up
OCRIPLASMIN	Protein	3.22	up
OCRIPLASMIN	Protein	3.22	up
OCRIPLASMIN	Protein	3.22	up
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.11	down
ME-344	Small molecule	-3.11	down
ME-344	Small molecule	-3.11	down
ME-344	Small molecule	-3.11	down
ME-344	Small molecule	-3.11	down
ALEPLASININ	Small molecule	3.093	up
ALEPLASININ	Small molecule	3.093	up
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN HYDROCHLORIDE	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.078	down
ME-344	Small molecule	-3.078	down
ME-344	Small molecule	-3.078	down
ME-344	Small molecule	-3.078	down
ME-344	Small molecule	-3.078	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
METFORMIN	Small molecule	-3.067	down
