Gen	Fármaco	Tipo interacción	Score	log2FC	FDR	Dirección DE
BCKDHB	COMPOUND 25 [PMID: 32687365]	agonist	2.008	-1.791	0.009	down
BCKDHB	GW9578	agonist	1.339	-1.791	0.009	down
BCKDHB	(R)-16 [PMID: 32267688]	agonist	1.339	-1.791	0.009	down
BCKDHB	L-783483	agonist	1.004	-1.791	0.009	down
BCKDHB	SELADELPAR	agonist	1.004	-1.791	0.009	down
BCKDHB	GW501516	agonist	1.004	-1.791	0.009	down
BCKDHB	LANIFIBRANOR	agonist	0.669	-1.791	0.009	down
BCKDHB	{4-[3-(4-ACETYL-3-HYDROXY-2-PROPYLPHENOXY)PROPOXY]PHENOXY}ACETIC ACID	agonist	0.574	-1.791	0.009	down
BCKDHB	GW0742X	agonist	0.502	-1.791	0.009	down
CUX1	ANTIDEPRESSANT AGENT	NA	0.502	1.791	0.012	up
BCKDHB	TRETINOIN	agonist	0.044	-1.791	0.009	down
VWF	CAPLACIZUMAB	inhibitor	7.831	-1.788	0.006	down
VWF	EGAPTIVON PEGOL	inhibitor	5.22	-1.788	0.006	down
VWF	TNP-470	NA	2.61	-1.788	0.006	down
VWF	VONICOG ALFA	NA	2.61	-1.788	0.006	down
VWF	HUMAN COAGULATION FACTOR VIII/VON WILLEBRAND FACTOR COMPLEX	NA	1.305	-1.788	0.006	down
VWF	FACTOR VIII	NA	0.87	-1.788	0.006	down
VWF	VITAMIN B6	NA	0.87	-1.788	0.006	down
VWF	ACETYLCYSTEINE	NA	0.348	-1.788	0.006	down
VWF	PHENYLEPHRINE	NA	0.326	-1.788	0.006	down
VWF	MITOMYCIN	NA	0.218	-1.788	0.006	down
VWF	TYROSINE KINASE INHIBITOR	NA	0.201	-1.788	0.006	down
VWF	STREPTOZOCIN	NA	0.17	-1.788	0.006	down
VWF	HEPARIN	NA	0.163	-1.788	0.006	down
VWF	WARFARIN	NA	0.158	-1.788	0.006	down
VWF	PENTOXIFYLLINE	NA	0.149	-1.788	0.006	down
VWF	THALIDOMIDE	NA	0.141	-1.788	0.006	down
VWF	METHYLENE BLUE ANHYDROUS	NA	0.141	-1.788	0.006	down
VWF	RIBAVIRIN	NA	0.137	-1.788	0.006	down
VWF	PREDNISONE	NA	0.116	-1.788	0.006	down
VWF	VINCRISTINE	NA	0.064	-1.788	0.006	down
NR5A1	BASIC FIBROBLAST GROWTH FACTOR	NA	3.263	1.787	0.016	up
NR5A1	BRAIN-DERIVED NEUROTROPHIC FACTOR	NA	2.175	1.787	0.016	up
NR5A1	CHEMBL:CHEMBL597670	NA	1.631	1.787	0.016	up
NR5A1	ACTH	NA	1.631	1.787	0.016	up
NR5A1	EFLORNITHINE	NA	0.593	1.787	0.016	up
NR5A1	RECOMBINANT TRANSFORMING GROWTH FACTOR	NA	0.297	1.787	0.016	up
NR5A1	TNF-ALPHA	NA	0.272	1.787	0.016	up
NR5A1	DECITABINE	NA	0.272	1.787	0.016	up
NR5A1	ARGIPRESSIN	NA	0.251	1.787	0.016	up
NR5A1	HEPARIN	NA	0.204	1.787	0.016	up
NR5A1	LIOTHYRONINE	NA	0.198	1.787	0.016	up
NR5A1	PD-98059	NA	0.176	1.787	0.016	up
NR5A1	HYDROCORTISONE BUTYRATE	NA	0.155	1.787	0.016	up
NR5A1	THERAPEUTIC HORMONE	NA	0.148	1.787	0.016	up
NR5A1	INSULIN, REGULAR, HUMAN	NA	0.123	1.787	0.016	up
NR5A1	DEXAMETHASONE	NA	0.077	1.787	0.016	up
DNMT1	TETRAHYDROCURCUMIN	NA	2.32	1.775	0.019	up
DNMT1	MAHANINE	NA	2.32	1.775	0.019	up
DNMT1	HEXAHYDROCURCUMIN	NA	2.32	1.775	0.019	up
DNMT1	CHEMBL:CHEMBL2063052	NA	2.32	1.775	0.019	up
DNMT1	ZEBULARINE	NA	2.32	1.775	0.019	up
DNMT1	GSK3685032	inhibitor	1.16	1.775	0.019	up
DNMT1	SGI-1027	inhibitor	1.16	1.775	0.019	up
DNMT1	FARNESYL TRANSFERASE INHIBITOR	NA	1.16	1.775	0.019	up
DNMT1	ANTROQUINONOL	NA	1.16	1.775	0.019	up
DNMT1	RODUCITABINE	NA	1.16	1.775	0.019	up
DNMT1	PALIFOSFAMIDE	NA	1.16	1.775	0.019	up
DNMT1	GUADECITABINE	NA	1.16	1.775	0.019	up
DNMT1	DNMT1 MIXED-BACKBONE ANTISENSE OLIGONUCLEOTIDE MG 98	NA	1.16	1.775	0.019	up
DNMT1	DECITABINE AND CEDAZURIDINE	NA	1.16	1.775	0.019	up
DNMT1	BISDEMETHOXYCURCUMIN	NA	0.773	1.775	0.019	up
DNMT1	BROMO-DEAZA-SAH	inhibitor	0.58	1.775	0.019	up
DNMT1	ORAL AZACITIDINE	NA	0.58	1.775	0.019	up
DNMT1	CM-272	inhibitor	0.58	1.775	0.019	up
DNMT1	K02288	inhibitor	0.58	1.775	0.019	up
DNMT1	BENZANTHRONE	NA	0.58	1.775	0.019	up
DNMT1	ML347	inhibitor	0.387	1.775	0.019	up
DNMT1	DEMETHOXYCURCUMIN	NA	0.387	1.775	0.019	up
DNMT1	LDN-214117	inhibitor	0.29	1.775	0.019	up
DNMT1	ZILURGISERTIB	inhibitor	0.232	1.775	0.019	up
DNMT1	SELENIUM	NA	0.205	1.775	0.019	up
DNMT1	DECITABINE	inhibitor	0.193	1.775	0.019	up
DNMT1	CHEMBL:CHEMBL580076	NA	0.193	1.775	0.019	up
DNMT1	COMPOUND 13R [PMID: 23639540]	inhibitor	0.193	1.775	0.019	up
DNMT1	AZACITIDINE	inhibitor	0.174	1.775	0.019	up
DNMT1	CHEMBL:CHEMBL1490332	NA	0.166	1.775	0.019	up
DNMT1	DAPHNORIN	NA	0.166	1.775	0.019	up
DNMT1	FLOXURIDINE	NA	0.166	1.775	0.019	up
DNMT1	IFOSFAMIDE	NA	0.166	1.775	0.019	up
DNMT1	COMPOUND 13D [PMID: 23639540]	inhibitor	0.166	1.775	0.019	up
DNMT1	COMPOUND 13A [PMID: 23639540]	inhibitor	0.166	1.775	0.019	up
DNMT1	ADRIAMYCIN	NA	0.122	1.775	0.019	up
DNMT1	CEPHALOTHIN	NA	0.116	1.775	0.019	up
DNMT1	HYDROXYUREA	NA	0.11	1.775	0.019	up
DNMT1	TCDD	NA	0.093	1.775	0.019	up
DNMT1	ARSENIC TRIOXIDE	NA	0.089	1.775	0.019	up
DNMT1	CHEMBL:CHEMBL599013	NA	0.083	1.775	0.019	up
DNMT1	DIETHYLSTILBESTROL	NA	0.07	1.775	0.019	up
DNMT1	MITOXANTRONE	NA	0.053	1.775	0.019	up
DNMT1	CURCUMIN	NA	0.053	1.775	0.019	up
DNMT1	CISPLATIN	NA	0.008	1.775	0.019	up
CRABP2	KV-37	inhibitor	10.441	1.77	0.033	up
CRABP2	COMPOUND 1 [LOLLI ET AL., 2019]	inhibitor	10.441	1.77	0.033	up
CRABP2	BESTATIN METHYL ESTER	NA	6.961	1.77	0.033	up
CRABP2	TOLFENAMIC ACID	inhibitor	1.044	1.77	0.033	up
CRABP2	RETINOIC ACID AGENT	NA	0.674	1.77	0.033	up
COL12A1	MANGOSTIN	inhibitor	2.373	1.768	0.012	up
COL12A1	TALAROTERPHENYL A	inhibitor	2.373	1.768	0.012	up
COL12A1	TODDACOUMALONE	inhibitor	2.373	1.768	0.012	up
COL12A1	MANGOSTANIN	inhibitor	2.373	1.768	0.012	up
COL12A1	LEO 239652	inhibitor	2.373	1.768	0.012	up
COL12A1	&ALPHA;-MANGOSTIN DERIVATIVE 4E	inhibitor	2.373	1.768	0.012	up
COL12A1	LEO 29102	inhibitor	2.373	1.768	0.012	up
COL12A1	COMPOUND 29 [MOSLIN ET AL., 2017]	inhibitor	1.186	1.768	0.012	up
COL12A1	BPN14770	modulator	1.186	1.768	0.012	up
COL12A1	PDE4 INHIBITOR 16	inhibitor	0.791	1.768	0.012	up
COL12A1	MORACIN M	inhibitor	0.791	1.768	0.012	up
COL12A1	CBS-3595	inhibitor	0.791	1.768	0.012	up
COL12A1	COMPOUND 3M [PMID: 32603117]	inhibitor	0.791	1.768	0.012	up
COL12A1	NERANDOMILAST	inhibitor	0.791	1.768	0.012	up
COL12A1	RO20-1724	inhibitor	0.593	1.768	0.012	up
COL12A1	MK-0359	inhibitor	0.593	1.768	0.012	up
COL12A1	CDP840	inhibitor	0.593	1.768	0.012	up
COL12A1	6-HYDROXY-5,7-DIMETHOXYFLAVONE	inhibitor	0.593	1.768	0.012	up
COL12A1	RS-25344	inhibitor	0.593	1.768	0.012	up
COL12A1	DIFAMILAST	inhibitor	0.475	1.768	0.012	up
COL12A1	ROLIPRAM	inhibitor	0.237	1.768	0.012	up
COL12A1	APREMILAST	inhibitor	0.237	1.768	0.012	up
LAMB1	HEPARAN SULFATE	NA	4.35	1.766	0.004	up
LAMB1	OCRIPLASMIN	cleavage	0.687	1.766	0.004	up
CTSH	COMPOUND 1E [PMID: 27285276]	inhibitor	17.401	1.76	0.03	up
CTSH	COMPOUND 1B [PMID: 16290936]	inhibitor	8.701	1.76	0.03	up
CTSH	COMPOUND 35 [PMID: 23916259]	inhibitor	8.701	1.76	0.03	up
APP	ADUCANUMAB	binder	3.164	1.76	0.008	up
APP	BAPINEUZUMAB	binder	2.373	1.76	0.008	up
APP	TRAMIPROSATE	modulator	2.373	1.76	0.008	up
APP	PONEZUMAB	binder	2.373	1.76	0.008	up
APP	GANTENERUMAB	binder	2.373	1.76	0.008	up
APP	SOLANEZUMAB	binder	2.373	1.76	0.008	up
APP	GSK933776	binder	2.373	1.76	0.008	up
APP	VALILTRAMIPROSATE	NA	1.582	1.76	0.008	up
APP	CHEMBL:CHEMBL477841	NA	1.582	1.76	0.008	up
APP	LECANEMAB	NA	1.582	1.76	0.008	up
APP	CRENEZUMAB	inhibitor	1.582	1.76	0.008	up
APP	3,5-DICAFFEOYLQUINIC ACID	NA	1.582	1.76	0.008	up
APP	CHEMBL:CHEMBL177126	NA	1.582	1.76	0.008	up
APP	TRIAZINATE	NA	1.582	1.76	0.008	up
APP	RELAXIN	agonist	0.791	1.76	0.008	up
APP	[125I]RELAXIN (HUMAN)	agonist	0.791	1.76	0.008	up
APP	AMILOMOTIDE	vaccine	0.791	1.76	0.008	up
APP	AZD5462	modulator	0.791	1.76	0.008	up
APP	COMPOUND 54	agonist	0.791	1.76	0.008	up
APP	SCYLLITOL	NA	0.791	1.76	0.008	up
APP	(B7-33)H2	agonist	0.791	1.76	0.008	up
APP	EUROPIUM-LABELLED RELAXIN	agonist	0.791	1.76	0.008	up
APP	B-R13/17K H2 RELAXIN	inhibitor	0.791	1.76	0.008	up
APP	ISOCHLOROGENIC ACID B	NA	0.791	1.76	0.008	up
APP	PTI-110	NA	0.791	1.76	0.008	up
APP	FLORBETAPIR F-18	NA	0.791	1.76	0.008	up
APP	A(4-24)(F23A)H2	agonist	0.791	1.76	0.008	up
APP	SA10SC-RLX	agonist	0.791	1.76	0.008	up
APP	VANUTIDE CRIDIFICAR	NA	0.791	1.76	0.008	up
APP	LY3540378	agonist	0.791	1.76	0.008	up
APP	DONANEMAB	negative modulator	0.791	1.76	0.008	up
APP	CAPROSPINOL	NA	0.791	1.76	0.008	up
APP	PRADEMAGENE ZAMIKERACEL	NA	0.791	1.76	0.008	up
APP	ML290	modulator	0.791	1.76	0.008	up
APP	NANOLUCIFERASE-LABELLED RELAXIN	agonist	0.791	1.76	0.008	up
APP	TAMRLX	agonist	0.395	1.76	0.008	up
APP	[33P]RELAXIN (HUMAN)	agonist	0.395	1.76	0.008	up
APP	T-817 MALEATE	NA	0.395	1.76	0.008	up
APP	INSL3	agonist	0.395	1.76	0.008	up
APP	A(4-24)(B7-24)H2	agonist	0.395	1.76	0.008	up
APP	RELAXIN-1	agonist	0.395	1.76	0.008	up
APP	FERULIC ACID	NA	0.316	1.76	0.008	up
APP	METHYLINOSITOL	NA	0.264	1.76	0.008	up
APP	BUNTANETAP	NA	0.264	1.76	0.008	up
APP	RELAXIN-3	agonist	0.198	1.76	0.008	up
APP	AMPHOTERICIN B LIPOSOMAL	NA	0.122	1.76	0.008	up
APP	2-CHLOROADENOSINE-5-TRIPHOSPHATE	NA	0.113	1.76	0.008	up
APP	INOSITOL	NA	0.105	1.76	0.008	up
APP	CLIOQUINOL	NA	0.088	1.76	0.008	up
APP	HYDROXYCHLOROQUINE	NA	0.088	1.76	0.008	up
APP	PARAROSANILINE	NA	0.072	1.76	0.008	up
APP	NIROGACESTAT	NA	0.056	1.76	0.008	up
APP	CONGO RED	NA	0.053	1.76	0.008	up
APP	PROPOFOL	NA	0.051	1.76	0.008	up
APP	CURCUMIN	NA	0.048	1.76	0.008	up
APP	GENTIAN VIOLET CATION	NA	0.042	1.76	0.008	up
APP	RESVERATROL	NA	0.032	1.76	0.008	up
APP	DAUNORUBICIN LIPOSOMAL	NA	0.017	1.76	0.008	up
ANXA6	KH28	agonist	4.35	-1.753	0.038	down
ANXA6	CONTULAKIN-G	agonist	4.35	-1.753	0.038	down
ANXA6	THR10CONTULAKIN-G	agonist	4.35	-1.753	0.038	down
ANXA6	SR142948A	inhibitor	4.35	-1.753	0.038	down
ANXA6	LARGE NEUROMEDIN N	agonist	4.35	-1.753	0.038	down
ANXA6	LARGE NEUROTENSIN	agonist	4.35	-1.753	0.038	down
ANXA6	JMV457	agonist	2.175	-1.753	0.038	down
ANXA6	NEUROTENSIN	agonist	2.175	-1.753	0.038	down
ANXA6	JMV458	agonist	2.175	-1.753	0.038	down
ANXA6	JMV431	agonist	2.175	-1.753	0.038	down
ANXA6	JMV2004	agonist	2.175	-1.753	0.038	down
ANXA6	MECLINERTANT	inhibitor	1.45	-1.753	0.038	down
DKC1	MAB92	antibody	17.401	1.75	0.014	up
DKC1	SPESOLIMAB	antibody	8.701	1.75	0.014	up
DKC1	HTERT VACCINE V934/V935	NA	5.8	1.75	0.014	up
GNA11	PXS-4681A	inhibitor	5.22	-1.749	0.014	down
GNA11	PXS-4728A	inhibitor	5.22	-1.749	0.014	down
GNA11	TIMOLUMAB	antibody	5.22	-1.749	0.014	down
GNA11	MOFEGILINE	inhibitor	2.61	-1.749	0.014	down
GNA11	SELUMETINIB	NA	1.74	-1.749	0.014	down
GNA11	SOTRASTAURIN ACETATE	NA	1.044	-1.749	0.014	down
GNA11	PHENELZINE	inhibitor	0.373	-1.749	0.014	down
GNA11	MIRDAMETINIB	NA	0.348	-1.749	0.014	down
GNA11	CABOZANTINIB S-MALATE	NA	0.237	-1.749	0.014	down
GNA11	VORINOSTAT	NA	0.093	-1.749	0.014	down
TFRC	A27.15	inhibitor	17.401	1.745	0.03	up
TFRC	E2.3	inhibitor	8.701	1.745	0.03	up
TFRC	PABINAFUSP ALFA	binder	8.701	1.745	0.03	up
ESD	PCC0105003	inhibitor	13.051	-1.736	0.018	down
OGDH	DEVIMISTAT	NA	3.263	-1.734	0.027	down
OGDH	VALPROIC ACID	NA	0.916	-1.734	0.027	down
RPS11	EXALUREN	modulator	0.131	1.726	0.023	up
RPS11	DORLIMOMAB ARITOX	inhibitor	0.131	1.726	0.023	up
RPS11	MT-3724	inhibitor	0.129	1.726	0.023	up
RPS11	ATALUREN	modulator	0.127	1.726	0.023	up
RPS11	CYCLOHEXIMIDE	inhibitor	0.11	1.726	0.023	up
PHB2	THERAPEUTIC STEROID HORMONE	NA	13.051	-1.717	0.028	down
PDE6D	PENTOXIFYLLINE	inhibitor	0.746	1.709	0.033	up
PDE6D	DIPYRIDAMOLE	inhibitor	0.466	1.709	0.033	up
GALNS	ELOSULFASE ALFA	NA	104.408	1.704	0.01	up
ACSL1	YHJ1039	inhibitor	5.8	-1.699	0.023	down
ACSL1	COMPOUND 30 [PMID: 23414845]	inhibitor	5.8	-1.699	0.023	down
ACSL1	VS-4718	inhibitor	5.8	-1.699	0.023	down
ACSL1	NARMAFOTINIB	inhibitor	5.8	-1.699	0.023	down
ACSL1	CEP-37440	inhibitor	2.9	-1.699	0.023	down
ACSL1	CONTELTINIB	inhibitor	2.9	-1.699	0.023	down
ACSL1	NVP-TAE 226	inhibitor	0.829	-1.699	0.023	down
ACSL1	ENMD-2076	inhibitor	0.187	-1.699	0.023	down
ACSL1	PF-562271	inhibitor	0.054	-1.699	0.023	down
GPNMB	GLEMBATUMUMAB	binder	26.102	1.698	0.029	up
GPNMB	GLEMBATUMUMAB VEDOTIN	binder	1.631	1.698	0.029	up
TAGLN	RECOMBINANT TRANSFORMING GROWTH FACTOR-BETA 1	NA	2.486	-1.697	0.035	down
TAGLN	AZACITIDINE	NA	1.305	-1.697	0.035	down
GM2A	BIW-8962	NA	3.071	1.695	0.022	up
GM2A	TORIPALIMAB	antibody	3.071	1.695	0.022	up
GM2A	RETIFANLIMAB	antibody	3.071	1.695	0.022	up
GM2A	ZIMBERELIMAB	antibody	3.071	1.695	0.022	up
GM2A	PROGRAMMED CELL DEATH 1 LIGAND 1	NA	3.071	1.695	0.022	up
GM2A	AUNP-12	inhibitor	3.071	1.695	0.022	up
GM2A	IVONESCIMAB	antibody	3.071	1.695	0.022	up
GM2A	DOSTARLIMAB	antibody	3.071	1.695	0.022	up
GM2A	PROLGOLIMAB	antibody	3.071	1.695	0.022	up
GM2A	SPARTALIZUMAB	antibody	3.071	1.695	0.022	up
GM2A	PENPULIMAB	antibody	3.071	1.695	0.022	up
GM2A	TISLELIZUMAB	antibody	3.071	1.695	0.022	up
GM2A	CADONILIMAB	antibody	1.535	1.695	0.022	up
GM2A	SINTILIMAB	antibody	1.024	1.695	0.022	up
GM2A	CEMIPLIMAB	antibody	0.439	1.695	0.022	up
GM2A	NIVOLUMAB	antibody	0.118	1.695	0.022	up
GM2A	PEMBROLIZUMAB	antibody	0.093	1.695	0.022	up
METAP2	PPI-2458	NA	13.051	1.691	0.036	up
METAP2	BELORANIB	inhibitor	9.788	1.691	0.036	up
METAP2	FUMAGILLIN-DERIVED POLYMER CONJUGATE XMT-1107	NA	6.525	1.691	0.036	up
METAP2	ACLIMOSTAT	inhibitor	6.525	1.691	0.036	up
METAP2	D-METHIONINE	NA	6.525	1.691	0.036	up
METAP2	EVEXOMOSTAT	NA	6.525	1.691	0.036	up
METAP2	M8891	NA	1.631	1.691	0.036	up
METAP2	TOSEDOSTAT	inhibitor	0.326	1.691	0.036	up
DSG3	COMPOUND 66 [PMID: 19788238]	inhibitor	4.746	1.663	0.028	up
CFB	PRISTIMERIN	agonist	17.401	-1.662	0.032	down
CFB	IPTACOPAN	inhibitor	17.401	-1.662	0.032	down
CFB	COMPOUND 111 [PMID: 37918435]	agonist	5.8	-1.662	0.032	down
MPO	XANTHINE OXIDASE INHIBITOR	NA	3.48	1.657	0.035	up
MPO	ASULACRINE ISETHIONATE	NA	3.48	1.657	0.035	up
MPO	SULFONE ANTI-INFECTIVE AGENT	NA	1.74	1.657	0.035	up
MPO	E-101 SOLUTION	NA	1.74	1.657	0.035	up
MPO	D-ALPHA-TOCOPHEROL ACETATE	NA	1.74	1.657	0.035	up
MPO	VERDIPERSTAT	inhibitor	1.74	1.657	0.035	up
MPO	TOLMETIN	NA	1.16	1.657	0.035	up
MPO	TENECTEPLASE	NA	1.16	1.657	0.035	up
MPO	ANTICOAGULANT AGENT	NA	1.16	1.657	0.035	up
MPO	MITIPERSTAT	NA	0.58	1.657	0.035	up
MPO	DRUGSATFDA.NDA:008378	NA	0.58	1.657	0.035	up
MPO	IMMUNOTHERAPEUTIC AGENT	NA	0.522	1.657	0.035	up
MPO	PSORALEN	NA	0.497	1.657	0.035	up
MPO	INTERLEUKIN-11	NA	0.348	1.657	0.035	up
MPO	PYRAZINAMIDE	NA	0.268	1.657	0.035	up
MPO	SULFAMETHOXAZOLE	NA	0.249	1.657	0.035	up
MPO	NIMESULIDE	NA	0.249	1.657	0.035	up
MPO	DIMETHYL SULFOXIDE	NA	0.218	1.657	0.035	up
MPO	LIDOCAINE	NA	0.205	1.657	0.035	up
MPO	OCTREOTIDE ACETATE	NA	0.193	1.657	0.035	up
MPO	LORATADINE	NA	0.183	1.657	0.035	up
MPO	PROPYLTHIOURACIL	NA	0.174	1.657	0.035	up
MPO	FLUTAMIDE	NA	0.174	1.657	0.035	up
MPO	DOXYCYCLINE ANHYDROUS	NA	0.151	1.657	0.035	up
MPO	THEOPHYLLINE	NA	0.129	1.657	0.035	up
MPO	FENTANYL CITRATE	NA	0.116	1.657	0.035	up
MPO	DICLOFENAC SODIUM	NA	0.102	1.657	0.035	up
MPO	FLUDARABINE	NA	0.102	1.657	0.035	up
MPO	METHYLENE BLUE ANHYDROUS	NA	0.094	1.657	0.035	up
MPO	LITHIUM	NA	0.083	1.657	0.035	up
SPINT1	SURAMIN	NA	2.748	1.655	0.02	up
TPT1	FLUOROURACIL	NA	0.9	-1.648	0.03	down
SPTA1	BENAZEPRIL	NA	17.401	-1.636	0.021	down
AK4	ADEFOVIR DIPIVOXIL	NA	2.9	-1.634	0.02	down
AK4	TENOFOVIR	NA	1.864	-1.634	0.02	down
HNRNPA1	CAMPTOTHECIN	NA	2.983	1.632	0.01	up
HINT1	COMPOUND 24 [PMID: 31343176]	inhibitor	52.204	-1.629	0.015	down
CHI3L1	COMPOUND 16 [PMID: 19097778]	inhibitor	26.102	1.626	0.046	up
CHI3L1	RECOMBINANT CHEMOKINE	NA	4.35	1.626	0.046	up
NUMA1	CALCIUM CHANNEL BLOCKER	NA	11.601	1.622	0.016	up
HSPD1	DIAPEP-277	NA	17.401	-1.612	0.029	down
HSPD1	CETRORELIX	NA	11.601	-1.612	0.029	down
HSPD1	ATORVASTATIN CALCIUM TRIHYDRATE	NA	0.633	-1.612	0.029	down
SIRPA	CAPECITABINE	NA	2.047	1.611	0.017	up
NDUFA9	NV-128	inhibitor	0.348	-1.602	0.042	down
NDUFA9	ME-344	inhibitor	0.341	-1.602	0.042	down
NDUFA9	METFORMIN HYDROCHLORIDE	inhibitor	0.311	-1.602	0.042	down
ALDH1A1	BINOSPIRONE	NA	0.118	-1.601	0.025	down
ALDH1A1	BUTANAL	NA	0.118	-1.601	0.025	down
ALDH1A1	LY-2183240	NA	0.118	-1.601	0.025	down
ALDH1A1	HYDRAZOBENZENE	NA	0.118	-1.601	0.025	down
ALDH1A1	AZEPANE	NA	0.118	-1.601	0.025	down
ALDH1A1	NITROBENZENE	NA	0.118	-1.601	0.025	down
ALDH1A1	(+)-AJ76	inhibitor	0.118	-1.601	0.025	down
ALDH1A1	VALERENIC ACID	NA	0.118	-1.601	0.025	down
ALDH1A1	3,4-DIMETHOXYBENZALDEHYDE	NA	0.118	-1.601	0.025	down
ALDH1A1	PHTHALIC ACID	NA	0.118	-1.601	0.025	down
ALDH1A1	METHYL ISOBUTYL KETONE	NA	0.118	-1.601	0.025	down
ALDH1A1	CHEMBL:CHEMBL464176	NA	0.118	-1.601	0.025	down
ALDH1A1	ALPHA-CYPERMETHRIN	NA	0.118	-1.601	0.025	down
ALDH1A1	CHEMBL:CHEMBL1580175	NA	0.118	-1.601	0.025	down
ALDH1A1	CHEMBL:CHEMBL113897	NA	0.118	-1.601	0.025	down
ALDH1A1	VANILLIN	NA	0.118	-1.601	0.025	down
ALDH1A1	ANISALDEHYDE	NA	0.118	-1.601	0.025	down
ALDH1A1	CHEMBL:CHEMBL26886	NA	0.118	-1.601	0.025	down
ALDH1A1	BENZYLACETONE	NA	0.118	-1.601	0.025	down
ALDH1A1	CHEMBL:CHEMBL528451	NA	0.118	-1.601	0.025	down
ALDH1A1	CHEMBL:CHEMBL1326758	NA	0.118	-1.601	0.025	down
ALDH1A1	CHEMBL:CHEMBL1386434	NA	0.118	-1.601	0.025	down
ALDH1A1	5-DEMETHYLNOBILETIN	NA	0.118	-1.601	0.025	down
ALDH1A1	ETHYL VANILLIN	NA	0.118	-1.601	0.025	down
ALDH1A1	CHEMBL:CHEMBL602158	NA	0.118	-1.601	0.025	down
ALDH1A1	2-ETHOXYCARBONYL-2-ETHOXYOXALOYLOXYDIHYDROCHRYSIN DIMETHYL ETHER	NA	0.118	-1.601	0.025	down
ALDH1A1	CHEMBL:CHEMBL324774	NA	0.118	-1.601	0.025	down
ALDH1A1	CHEMBL:CHEMBL600342	NA	0.118	-1.601	0.025	down
ALDH1A1	CHEMBL:CHEMBL156075	NA	0.118	-1.601	0.025	down
ALDH1A1	CHEMBL:CHEMBL581869	NA	0.118	-1.601	0.025	down
ALDH1A1	CHEMBL:CHEMBL596847	NA	0.118	-1.601	0.025	down
ALDH1A1	NGB 2904	inhibitor	0.118	-1.601	0.025	down
ALDH1A1	SODIUM AZIDE	NA	0.118	-1.601	0.025	down
ALDH1A1	CHEMBL:CHEMBL609030	NA	0.118	-1.601	0.025	down
ALDH1A1	BENZALDEHYDE	NA	0.118	-1.601	0.025	down
ALDH1A1	PG01037	inhibitor	0.118	-1.601	0.025	down
ALDH1A1	GARDENIN B	NA	0.118	-1.601	0.025	down
ALDH1A1	2-METHYL-5,7,8-TRIMETHOXYISOFLAVONE	NA	0.118	-1.601	0.025	down
ALDH1A1	PHENYLGLYOXAL	NA	0.118	-1.601	0.025	down
ALDH1A1	BIS(2-ETHYLHEXYL) PHTHALATE	NA	0.118	-1.601	0.025	down
ALDH1A1	CHEMBL:CHEMBL603031	NA	0.118	-1.601	0.025	down
ALDH1A1	ALDOPHOSPHAMIDE	NA	0.118	-1.601	0.025	down
ALDH1A1	CHEMBL:CHEMBL590660	NA	0.118	-1.601	0.025	down
ALDH1A1	CHEMBL:CHEMBL108851	NA	0.118	-1.601	0.025	down
ALDH1A1	5-METHOXYISATIN	NA	0.118	-1.601	0.025	down
ALDH1A1	PHENYL ISATIN	NA	0.118	-1.601	0.025	down
ALDH1A1	METHYLEPHEDRINE	NA	0.118	-1.601	0.025	down
ALDH1A1	CHEMBL:CHEMBL587772	NA	0.118	-1.601	0.025	down
ALDH1A1	DISULFOTON	NA	0.118	-1.601	0.025	down
ALDH1A1	EUGENOL	NA	0.118	-1.601	0.025	down
ALDH1A1	AVOCADYNE ACETATE	NA	0.118	-1.601	0.025	down
ALDH1A1	CHEMBL:CHEMBL1594640	NA	0.118	-1.601	0.025	down
ALDH1A1	CHEMBL:CHEMBL585417	NA	0.118	-1.601	0.025	down
ALDH1A1	CHEMBL:CHEMBL601994	NA	0.118	-1.601	0.025	down
ALDH1A1	2-NITROANISOLE	NA	0.118	-1.601	0.025	down
ALDH1A1	CHEMBL:CHEMBL17329	NA	0.059	-1.601	0.025	down
ALDH1A1	R-VK4-40	inhibitor	0.059	-1.601	0.025	down
ALDH1A1	ARACHIDONYL TRIFLUOROMETHYL KETONE	NA	0.059	-1.601	0.025	down
ALDH1A1	GARDENIN	NA	0.059	-1.601	0.025	down
ALDH1A1	[3H]7-OH-DPAT	agonist	0.059	-1.601	0.025	down
ALDH1A1	[3H]NEMONAPRIDE	inhibitor	0.059	-1.601	0.025	down
ALDH1A1	(+)-S-14297	inhibitor	0.059	-1.601	0.025	down
ALDH1A1	TIOPRONIN	NA	0.059	-1.601	0.025	down
ALDH1A1	7-TRANS-OH-PIPAT	agonist	0.059	-1.601	0.025	down
ALDH1A1	CHEMBL:CHEMBL579028	NA	0.059	-1.601	0.025	down
ALDH1A1	CHEMBL:CHEMBL597449	NA	0.059	-1.601	0.025	down
ALDH1A1	BENZOPHENONE	NA	0.059	-1.601	0.025	down
ALDH1A1	CHEMBL:CHEMBL589207	NA	0.059	-1.601	0.025	down
ALDH1A1	CHEMBL:CHEMBL444236	NA	0.059	-1.601	0.025	down
ALDH1A1	CHEMBL:CHEMBL97858	NA	0.059	-1.601	0.025	down
ALDH1A1	CHEMBL:CHEMBL312487	NA	0.059	-1.601	0.025	down
ALDH1A1	PARATHION	NA	0.059	-1.601	0.025	down
